problem_name,algo_name,Noise_type,Noise_intensity,Max_fitness,Min_fitness,Final_fitness
OneMax_100item,EA,post,0,87.0,55.0,75.0
OneMax_100item,EA,post,0,88.0,57.0,83.0
OneMax_100item,EA,post,0,87.0,59.0,80.0
OneMax_100item,EA,post,0,89.0,58.0,81.0
OneMax_100item,EA,post,0,88.0,55.0,81.0
OneMax_100item,EA,post,0,89.0,53.0,80.0
OneMax_100item,EA,post,0,93.0,56.0,77.0
OneMax_100item,EA,post,0,90.0,54.0,70.0
OneMax_100item,EA,post,0,87.0,57.0,75.0
OneMax_100item,EA,post,0,89.0,59.0,76.0
OneMax_100item,EA,post,0,89.0,58.0,83.0
OneMax_100item,EA,post,0,88.0,53.0,80.0
OneMax_100item,EA,post,0,88.0,53.0,82.0
OneMax_100item,EA,post,0,90.0,51.0,77.0
OneMax_100item,EA,post,0,89.0,56.0,79.0
OneMax_100item,EA,post,0,89.0,54.0,73.0
OneMax_100item,EA,post,0,89.0,61.0,78.0
OneMax_100item,EA,post,0,89.0,48.0,76.0
OneMax_100item,EA,post,0,89.0,53.0,76.0
OneMax_100item,EA,post,0,88.0,48.0,80.0
OneMax_100item,EA,post,0,89.0,52.0,79.0
OneMax_100item,EA,post,0,88.0,51.0,78.0
OneMax_100item,EA,post,0,88.0,54.0,78.0
OneMax_100item,EA,post,0,88.0,48.0,70.0
OneMax_100item,EA,post,0,87.0,54.0,76.0
OneMax_100item,EAelite,post,0,100.0,54.0,100.0
OneMax_100item,EAelite,post,0,100.0,56.0,100.0
OneMax_100item,EAelite,post,0,100.0,55.0,100.0
OneMax_100item,EAelite,post,0,100.0,54.0,100.0
OneMax_100item,EAelite,post,0,100.0,60.0,100.0
OneMax_100item,EAelite,post,0,100.0,56.0,100.0
OneMax_100item,EAelite,post,0,100.0,49.0,100.0
OneMax_100item,EAelite,post,0,100.0,58.0,100.0
OneMax_100item,EAelite,post,0,100.0,48.0,100.0
OneMax_100item,EAelite,post,0,100.0,60.0,100.0
OneMax_100item,EAelite,post,0,100.0,53.0,100.0
OneMax_100item,EAelite,post,0,100.0,57.0,100.0
OneMax_100item,EAelite,post,0,100.0,51.0,100.0
OneMax_100item,EAelite,post,0,100.0,58.0,100.0
OneMax_100item,EAelite,post,0,100.0,60.0,100.0
OneMax_100item,EAelite,post,0,100.0,50.0,100.0
OneMax_100item,EAelite,post,0,100.0,54.0,100.0
OneMax_100item,EAelite,post,0,100.0,56.0,100.0
OneMax_100item,EAelite,post,0,100.0,57.0,100.0
OneMax_100item,EAelite,post,0,100.0,48.0,100.0
OneMax_100item,EAelite,post,0,100.0,54.0,100.0
OneMax_100item,EAelite,post,0,100.0,49.0,100.0
OneMax_100item,EAelite,post,0,100.0,55.0,100.0
OneMax_100item,EAelite,post,0,100.0,55.0,100.0
OneMax_100item,EAelite,post,0,100.0,52.0,100.0
OneMax_100item,EAelite,post,0,100.0,63.0,100.0
OneMax_100item,EAelite,post,0,100.0,56.0,100.0
OneMax_100item,EAelite,post,0,100.0,56.0,100.0
OneMax_100item,EAelite,post,0,100.0,50.0,100.0
OneMax_100item,EAelite,post,0,100.0,55.0,100.0
OneMax_100item,EAelite,post,0,100.0,57.0,100.0
OneMax_100item,EAelite,post,0,100.0,47.0,100.0
OneMax_100item,EAelite,post,0,100.0,62.0,100.0
OneMax_100item,EAelite,post,0,100.0,59.0,100.0
OneMax_100item,EAelite,post,0,100.0,51.0,100.0
OneMax_100item,EAelite,post,0,100.0,53.0,100.0
OneMax_100item,EAelite,post,0,100.0,61.0,100.0
OneMax_100item,EAelite,post,0,100.0,53.0,100.0
OneMax_100item,EAelite,post,0,100.0,54.0,100.0
OneMax_100item,EAelite,post,0,100.0,52.0,100.0
OneMax_100item,EAelite,post,0,100.0,55.0,100.0
OneMax_100item,EAelite,post,0,100.0,54.0,100.0
OneMax_100item,EAelite,post,0,100.0,55.0,100.0
OneMax_100item,EAelite,post,0,100.0,55.0,100.0
OneMax_100item,EAelite,post,0,100.0,56.0,100.0
OneMax_100item,EAelite,post,0,100.0,55.0,100.0
OneMax_100item,EAelite,post,0,100.0,55.0,100.0
OneMax_100item,EAelite,post,0,100.0,55.0,100.0
OneMax_100item,EAelite,post,0,100.0,54.0,100.0
OneMax_100item,EAelite,post,0,100.0,60.0,100.0
OneMax_100item,EAelite,post,0,100.0,61.0,100.0
OneMax_100item,EAelite,post,0,100.0,53.0,100.0
OneMax_100item,EAelite,post,0,100.0,53.0,100.0
OneMax_100item,EAelite,post,0,100.0,63.0,100.0
OneMax_100item,EAelite,post,0,100.0,58.0,100.0
OneMax_100item,EAelite,post,0,100.0,51.0,100.0
